Emotions,Path
happy,Audios - Train 3/Aug1038_IEO_HAP_MD_TimeShifted_23.64.wav
happy,Audios - Train 3/Aug1038_IEO_HAP_MD_TimeShifted_448.51.wav
happy,Audios - Train 3/Aug1038_IEO_HAP_MD_TimeShifted_12.27.wav
fear,Audios - Train 3/1067_IOM_FEA_XX.wav
fear,Audios - Train 3/Aug1067_IOM_FEA_XX_TimeShifted_6.72.wav
fear,Audios - Train 3/Aug1067_IOM_FEA_XX_TimeShifted_6.25.wav
fear,Audios - Train 3/Aug1067_IOM_FEA_XX_TimeShifted_8.4.wav
fear,Audios - Train 3/Aug1067_IOM_FEA_XX_TimeShifted_18.19.wav
fear,Audios - Train 3/Aug1067_IOM_FEA_XX_TimeShifted_5.79.wav
fear,Audios - Train 3/YAF_met_fear.wav
fear,Audios - Train 3/AugYAF_met_fear_TimeShifted_-38.99.wav
fear,Audios - Train 3/AugYAF_met_fear_TimeShifted_35.6.wav
fear,Audios - Train 3/AugYAF_met_fear_TimeShifted_-78.57.wav
fear,Audios - Train 3/AugYAF_met_fear_TimeShifted_2.97.wav
fear,Audios - Train 3/AugYAF_met_fear_TimeShifted_4.22.wav
happy,Audios - Train 3/1078_ITH_HAP_XX.wav
happy,Audios - Train 3/Aug1078_ITH_HAP_XX_TimeShifted_7.31.wav
happy,Audios - Train 3/Aug1078_ITH_HAP_XX_TimeShifted_-69.01.wav
happy,Audios - Train 3/Aug1078_ITH_HAP_XX_TimeShifted_-6.16.wav
happy,Audios - Train 3/Aug1078_ITH_HAP_XX_TimeShifted_12.87.wav
happy,Audios - Train 3/Aug1078_ITH_HAP_XX_TimeShifted_26.16.wav
sad,Audios - Train 3/1039_WSI_SAD_XX.wav
sad,Audios - Train 3/Aug1039_WSI_SAD_XX_TimeShifted_20.98.wav
sad,Audios - Train 3/Aug1039_WSI_SAD_XX_TimeShifted_-14.62.wav
sad,Audios - Train 3/Aug1039_WSI_SAD_XX_TimeShifted_4.51.wav
sad,Audios - Train 3/Aug1039_WSI_SAD_XX_TimeShifted_-6.59.wav
sad,Audios - Train 3/Aug1039_WSI_SAD_XX_TimeShifted_-127.25.wav
happy,Audios - Train 3/1058_WSI_HAP_XX.wav
happy,Audios - Train 3/Aug1058_WSI_HAP_XX_TimeShifted_-25.25.wav
happy,Audios - Train 3/Aug1058_WSI_HAP_XX_TimeShifted_27.72.wav
happy,Audios - Train 3/Aug1058_WSI_HAP_XX_TimeShifted_21.47.wav
happy,Audios - Train 3/Aug1058_WSI_HAP_XX_TimeShifted_16.42.wav
happy,Audios - Train 3/Aug1058_WSI_HAP_XX_TimeShifted_23.97.wav
sad,Audios - Train 3/1052_IEO_SAD_MD.wav
sad,Audios - Train 3/Aug1052_IEO_SAD_MD_TimeShifted_106.34.wav
sad,Audios - Train 3/Aug1052_IEO_SAD_MD_TimeShifted_29.72.wav
sad,Audios - Train 3/Aug1052_IEO_SAD_MD_TimeShifted_6.69.wav
sad,Audios - Train 3/Aug1052_IEO_SAD_MD_TimeShifted_8.33.wav
sad,Audios - Train 3/Aug1052_IEO_SAD_MD_TimeShifted_36.94.wav
angry,Audios - Train 3/1017_ITH_ANG_XX.wav
angry,Audios - Train 3/Aug1017_ITH_ANG_XX_TimeShifted_15.83.wav
angry,Audios - Train 3/Aug1017_ITH_ANG_XX_TimeShifted_5.78.wav
angry,Audios - Train 3/Aug1017_ITH_ANG_XX_TimeShifted_1828.13.wav
angry,Audios - Train 3/Aug1017_ITH_ANG_XX_TimeShifted_10.8.wav
angry,Audios - Train 3/Aug1017_ITH_ANG_XX_TimeShifted_11.82.wav
sad,Audios - Train 3/1004_MTI_SAD_XX.wav
sad,Audios - Train 3/Aug1004_MTI_SAD_XX_TimeShifted_-34.56.wav
sad,Audios - Train 3/Aug1004_MTI_SAD_XX_TimeShifted_11.64.wav
sad,Audios - Train 3/Aug1004_MTI_SAD_XX_TimeShifted_31.19.wav
sad,Audios - Train 3/Aug1004_MTI_SAD_XX_TimeShifted_53.74.wav
sad,Audios - Train 3/Aug1004_MTI_SAD_XX_TimeShifted_7.39.wav
angry,Audios - Train 3/1045_DFA_ANG_XX.wav
angry,Audios - Train 3/Aug1045_DFA_ANG_XX_TimeShifted_5.29.wav
angry,Audios - Train 3/Aug1045_DFA_ANG_XX_TimeShifted_-27.71.wav
angry,Audios - Train 3/Aug1045_DFA_ANG_XX_TimeShifted_3.18.wav
angry,Audios - Train 3/Aug1045_DFA_ANG_XX_TimeShifted_24.71.wav
angry,Audios - Train 3/Aug1045_DFA_ANG_XX_TimeShifted_5.81.wav
happy,Audios - Train 3/03-01-03-02-01-01-09.wav
happy,Audios - Train 3/Aug03-01-03-02-01-01-09_TimeShifted_-108.65.wav
happy,Audios - Train 3/Aug03-01-03-02-01-01-09_TimeShifted_18.11.wav
happy,Audios - Train 3/Aug03-01-03-02-01-01-09_TimeShifted_11.96.wav
happy,Audios - Train 3/Aug03-01-03-02-01-01-09_TimeShifted_15.59.wav
happy,Audios - Train 3/Aug03-01-03-02-01-01-09_TimeShifted_5.9.wav
happy,Audios - Train 3/1006_IWW_HAP_XX.wav
happy,Audios - Train 3/Aug1006_IWW_HAP_XX_TimeShifted_12.69.wav
happy,Audios - Train 3/Aug1006_IWW_HAP_XX_TimeShifted_4.83.wav
happy,Audios - Train 3/Aug1006_IWW_HAP_XX_TimeShifted_11.88.wav
happy,Audios - Train 3/Aug1006_IWW_HAP_XX_TimeShifted_4.66.wav
happy,Audios - Train 3/Aug1006_IWW_HAP_XX_TimeShifted_10.95.wav
happy,Audios - Train 3/1078_IEO_HAP_MD.wav
happy,Audios - Train 3/Aug1078_IEO_HAP_MD_TimeShifted_6.52.wav
happy,Audios - Train 3/Aug1078_IEO_HAP_MD_TimeShifted_33.32.wav
happy,Audios - Train 3/Aug1078_IEO_HAP_MD_TimeShifted_9.9.wav
happy,Audios - Train 3/Aug1078_IEO_HAP_MD_TimeShifted_-58.64.wav
happy,Audios - Train 3/Aug1078_IEO_HAP_MD_TimeShifted_2.83.wav
sad,Audios - Train 3/1063_IEO_SAD_MD.wav
sad,Audios - Train 3/Aug1063_IEO_SAD_MD_TimeShifted_-53.8.wav
sad,Audios - Train 3/Aug1063_IEO_SAD_MD_TimeShifted_-6.45.wav
sad,Audios - Train 3/Aug1063_IEO_SAD_MD_TimeShifted_12.0.wav
sad,Audios - Train 3/Aug1063_IEO_SAD_MD_TimeShifted_3.29.wav
sad,Audios - Train 3/Aug1063_IEO_SAD_MD_TimeShifted_12.49.wav
happy,Audios - Train 3/1028_ITH_HAP_XX.wav
happy,Audios - Train 3/Aug1028_ITH_HAP_XX_TimeShifted_15.07.wav
happy,Audios - Train 3/Aug1028_ITH_HAP_XX_TimeShifted_73.7.wav
happy,Audios - Train 3/Aug1028_ITH_HAP_XX_TimeShifted_4.12.wav
happy,Audios - Train 3/Aug1028_ITH_HAP_XX_TimeShifted_-12.33.wav
happy,Audios - Train 3/Aug1028_ITH_HAP_XX_TimeShifted_6.68.wav
fear,Audios - Train 3/1030_IWW_FEA_XX.wav
fear,Audios - Train 3/Aug1030_IWW_FEA_XX_TimeShifted_8.16.wav
fear,Audios - Train 3/Aug1030_IWW_FEA_XX_TimeShifted_5.77.wav
fear,Audios - Train 3/Aug1030_IWW_FEA_XX_TimeShifted_5.05.wav
fear,Audios - Train 3/Aug1030_IWW_FEA_XX_TimeShifted_-83.43.wav
fear,Audios - Train 3/Aug1030_IWW_FEA_XX_TimeShifted_4.05.wav
angry,Audios - Train 3/1030_TIE_ANG_XX.wav
angry,Audios - Train 3/Aug1030_TIE_ANG_XX_TimeShifted_11.68.wav
angry,Audios - Train 3/Aug1030_TIE_ANG_XX_TimeShifted_13.41.wav
angry,Audios - Train 3/Aug1030_TIE_ANG_XX_TimeShifted_9.62.wav
angry,Audios - Train 3/Aug1030_TIE_ANG_XX_TimeShifted_18.01.wav
angry,Audios - Train 3/Aug1030_TIE_ANG_XX_TimeShifted_7.18.wav
fear,Audios - Train 3/1081_IWW_FEA_XX.wav
fear,Audios - Train 3/Aug1081_IWW_FEA_XX_TimeShifted_12.18.wav
fear,Audios - Train 3/Aug1081_IWW_FEA_XX_TimeShifted_345.8.wav
fear,Audios - Train 3/Aug1081_IWW_FEA_XX_TimeShifted_8.35.wav
fear,Audios - Train 3/Aug1081_IWW_FEA_XX_TimeShifted_4.44.wav
fear,Audios - Train 3/Aug1081_IWW_FEA_XX_TimeShifted_-18.99.wav
angry,Audios - Train 3/1038_TSI_ANG_XX.wav
angry,Audios - Train 3/Aug1038_TSI_ANG_XX_TimeShifted_15.32.wav
angry,Audios - Train 3/Aug1038_TSI_ANG_XX_TimeShifted_10.47.wav
angry,Audios - Train 3/Aug1038_TSI_ANG_XX_TimeShifted_8.63.wav
angry,Audios - Train 3/Aug1038_TSI_ANG_XX_TimeShifted_6.11.wav
angry,Audios - Train 3/Aug1038_TSI_ANG_XX_TimeShifted_11.85.wav
sad,Audios - Train 3/1043_MTI_SAD_XX.wav
sad,Audios - Train 3/Aug1043_MTI_SAD_XX_TimeShifted_16.76.wav
sad,Audios - Train 3/Aug1043_MTI_SAD_XX_TimeShifted_17.05.wav
sad,Audios - Train 3/Aug1043_MTI_SAD_XX_TimeShifted_3.68.wav
sad,Audios - Train 3/Aug1043_MTI_SAD_XX_TimeShifted_17.66.wav
sad,Audios - Train 3/Aug1043_MTI_SAD_XX_TimeShifted_-6.34.wav
sad,Audios - Train 3/03-01-04-01-01-02-22.wav
sad,Audios - Train 3/Aug03-01-04-01-01-02-22_TimeShifted_431.39.wav
sad,Audios - Train 3/Aug03-01-04-01-01-02-22_TimeShifted_13.31.wav
sad,Audios - Train 3/Aug03-01-04-01-01-02-22_TimeShifted_9.3.wav
sad,Audios - Train 3/Aug03-01-04-01-01-02-22_TimeShifted_10.54.wav
sad,Audios - Train 3/Aug03-01-04-01-01-02-22_TimeShifted_-43.7.wav
happy,Audios - Train 3/03-01-03-01-01-01-01.wav
happy,Audios - Train 3/Aug03-01-03-01-01-01-01_TimeShifted_-91.71.wav
happy,Audios - Train 3/Aug03-01-03-01-01-01-01_TimeShifted_6.21.wav
happy,Audios - Train 3/Aug03-01-03-01-01-01-01_TimeShifted_61.34.wav
happy,Audios - Train 3/Aug03-01-03-01-01-01-01_TimeShifted_66.12.wav
happy,Audios - Train 3/Aug03-01-03-01-01-01-01_TimeShifted_10.62.wav
sad,Audios - Train 3/1066_IEO_SAD_HI.wav
sad,Audios - Train 3/Aug1066_IEO_SAD_HI_TimeShifted_4.28.wav
sad,Audios - Train 3/Aug1066_IEO_SAD_HI_TimeShifted_4.26.wav
sad,Audios - Train 3/Aug1066_IEO_SAD_HI_TimeShifted_4.41.wav
sad,Audios - Train 3/Aug1066_IEO_SAD_HI_TimeShifted_36.3.wav
sad,Audios - Train 3/Aug1066_IEO_SAD_HI_TimeShifted_5.65.wav
fear,Audios - Train 3/1020_IEO_FEA_MD.wav
fear,Audios - Train 3/Aug1020_IEO_FEA_MD_TimeShifted_5.23.wav
fear,Audios - Train 3/Aug1020_IEO_FEA_MD_TimeShifted_6.35.wav
fear,Audios - Train 3/Aug1020_IEO_FEA_MD_TimeShifted_20.3.wav
fear,Audios - Train 3/Aug1020_IEO_FEA_MD_TimeShifted_93.93.wav
fear,Audios - Train 3/Aug1020_IEO_FEA_MD_TimeShifted_8.77.wav
angry,Audios - Train 3/1086_IEO_ANG_LO.wav
angry,Audios - Train 3/Aug1086_IEO_ANG_LO_TimeShifted_29.43.wav
angry,Audios - Train 3/Aug1086_IEO_ANG_LO_TimeShifted_10.63.wav
angry,Audios - Train 3/Aug1086_IEO_ANG_LO_TimeShifted_10.7.wav
angry,Audios - Train 3/Aug1086_IEO_ANG_LO_TimeShifted_10.74.wav
angry,Audios - Train 3/Aug1086_IEO_ANG_LO_TimeShifted_18.95.wav
happy,Audios - Train 3/1017_TIE_HAP_XX.wav
happy,Audios - Train 3/Aug1017_TIE_HAP_XX_TimeShifted_10.69.wav
happy,Audios - Train 3/Aug1017_TIE_HAP_XX_TimeShifted_24.58.wav
happy,Audios - Train 3/Aug1017_TIE_HAP_XX_TimeShifted_19.7.wav
happy,Audios - Train 3/Aug1017_TIE_HAP_XX_TimeShifted_19.98.wav
happy,Audios - Train 3/Aug1017_TIE_HAP_XX_TimeShifted_10.46.wav
angry,Audios - Train 3/DC_a04.wav
angry,Audios - Train 3/AugDC_a04_TimeShifted_5.02.wav
angry,Audios - Train 3/AugDC_a04_TimeShifted_-38.73.wav
angry,Audios - Train 3/AugDC_a04_TimeShifted_6.68.wav
angry,Audios - Train 3/AugDC_a04_TimeShifted_6.54.wav
angry,Audios - Train 3/AugDC_a04_TimeShifted_56.85.wav
angry,Audios - Train 3/03-01-05-02-01-02-24.wav
angry,Audios - Train 3/Aug03-01-05-02-01-02-24_TimeShifted_7.78.wav
angry,Audios - Train 3/Aug03-01-05-02-01-02-24_TimeShifted_-47.03.wav
angry,Audios - Train 3/Aug03-01-05-02-01-02-24_TimeShifted_15.15.wav
angry,Audios - Train 3/Aug03-01-05-02-01-02-24_TimeShifted_7.99.wav
angry,Audios - Train 3/Aug03-01-05-02-01-02-24_TimeShifted_24.11.wav
angry,Audios - Train 3/1029_TAI_ANG_XX.wav
angry,Audios - Train 3/Aug1029_TAI_ANG_XX_TimeShifted_11.3.wav
angry,Audios - Train 3/Aug1029_TAI_ANG_XX_TimeShifted_30.99.wav
angry,Audios - Train 3/Aug1029_TAI_ANG_XX_TimeShifted_-11.39.wav
angry,Audios - Train 3/Aug1029_TAI_ANG_XX_TimeShifted_-87.72.wav
angry,Audios - Train 3/Aug1029_TAI_ANG_XX_TimeShifted_8.25.wav
sad,Audios - Train 3/1066_TAI_SAD_XX.wav
sad,Audios - Train 3/Aug1066_TAI_SAD_XX_TimeShifted_27.82.wav
sad,Audios - Train 3/Aug1066_TAI_SAD_XX_TimeShifted_5.67.wav
sad,Audios - Train 3/Aug1066_TAI_SAD_XX_TimeShifted_6.77.wav
sad,Audios - Train 3/Aug1066_TAI_SAD_XX_TimeShifted_-22.57.wav
sad,Audios - Train 3/Aug1066_TAI_SAD_XX_TimeShifted_11.82.wav
fear,Audios - Train 3/1007_TAI_FEA_XX.wav
fear,Audios - Train 3/Aug1007_TAI_FEA_XX_TimeShifted_93.97.wav
fear,Audios - Train 3/Aug1007_TAI_FEA_XX_TimeShifted_11.04.wav
fear,Audios - Train 3/Aug1007_TAI_FEA_XX_TimeShifted_16.19.wav
fear,Audios - Train 3/Aug1007_TAI_FEA_XX_TimeShifted_-52.82.wav
fear,Audios - Train 3/Aug1007_TAI_FEA_XX_TimeShifted_-22.21.wav
happy,Audios - Train 3/1043_ITS_HAP_XX.wav
happy,Audios - Train 3/Aug1043_ITS_HAP_XX_TimeShifted_18.16.wav
happy,Audios - Train 3/Aug1043_ITS_HAP_XX_TimeShifted_4.59.wav
happy,Audios - Train 3/Aug1043_ITS_HAP_XX_TimeShifted_7.42.wav
happy,Audios - Train 3/Aug1043_ITS_HAP_XX_TimeShifted_-3.71.wav
happy,Audios - Train 3/Aug1043_ITS_HAP_XX_TimeShifted_9.16.wav
happy,Audios - Train 3/1048_IEO_HAP_MD.wav
happy,Audios - Train 3/Aug1048_IEO_HAP_MD_TimeShifted_4.86.wav
happy,Audios - Train 3/Aug1048_IEO_HAP_MD_TimeShifted_5.19.wav
happy,Audios - Train 3/Aug1048_IEO_HAP_MD_TimeShifted_-46.43.wav
happy,Audios - Train 3/Aug1048_IEO_HAP_MD_TimeShifted_13.92.wav
happy,Audios - Train 3/Aug1048_IEO_HAP_MD_TimeShifted_5.84.wav
fear,Audios - Train 3/1001_IEO_FEA_LO.wav
fear,Audios - Train 3/Aug1001_IEO_FEA_LO_TimeShifted_6.19.wav
fear,Audios - Train 3/Aug1001_IEO_FEA_LO_TimeShifted_1.88.wav
fear,Audios - Train 3/Aug1001_IEO_FEA_LO_TimeShifted_5.22.wav
fear,Audios - Train 3/Aug1001_IEO_FEA_LO_TimeShifted_-5.94.wav
fear,Audios - Train 3/Aug1001_IEO_FEA_LO_TimeShifted_-53.55.wav
sad,Audios - Train 3/03-01-04-01-02-01-17.wav
sad,Audios - Train 3/Aug03-01-04-01-02-01-17_TimeShifted_18.5.wav
sad,Audios - Train 3/Aug03-01-04-01-02-01-17_TimeShifted_10.56.wav
sad,Audios - Train 3/Aug03-01-04-01-02-01-17_TimeShifted_6.23.wav
sad,Audios - Train 3/Aug03-01-04-01-02-01-17_TimeShifted_-52.31.wav
sad,Audios - Train 3/Aug03-01-04-01-02-01-17_TimeShifted_7.92.wav
happy,Audios - Train 3/03-01-03-01-02-02-08.wav
happy,Audios - Train 3/Aug03-01-03-01-02-02-08_TimeShifted_-92.06.wav
happy,Audios - Train 3/Aug03-01-03-01-02-02-08_TimeShifted_11.08.wav
happy,Audios - Train 3/Aug03-01-03-01-02-02-08_TimeShifted_18.52.wav
happy,Audios - Train 3/Aug03-01-03-01-02-02-08_TimeShifted_5.85.wav
happy,Audios - Train 3/Aug03-01-03-01-02-02-08_TimeShifted_-97.17.wav
happy,Audios - Train 3/1037_ITH_HAP_XX.wav
happy,Audios - Train 3/Aug1037_ITH_HAP_XX_TimeShifted_-13.9.wav
happy,Audios - Train 3/Aug1037_ITH_HAP_XX_TimeShifted_14.42.wav
happy,Audios - Train 3/Aug1037_ITH_HAP_XX_TimeShifted_5.2.wav
happy,Audios - Train 3/Aug1037_ITH_HAP_XX_TimeShifted_6.53.wav
happy,Audios - Train 3/Aug1037_ITH_HAP_XX_TimeShifted_6.72.wav
fear,Audios - Train 3/OAF_doll_fear.wav
fear,Audios - Train 3/AugOAF_doll_fear_TimeShifted_-23.11.wav
fear,Audios - Train 3/AugOAF_doll_fear_TimeShifted_-3.88.wav
fear,Audios - Train 3/AugOAF_doll_fear_TimeShifted_10.16.wav
fear,Audios - Train 3/AugOAF_doll_fear_TimeShifted_7.23.wav
fear,Audios - Train 3/AugOAF_doll_fear_TimeShifted_17.6.wav
fear,Audios - Train 3/1073_IEO_FEA_LO.wav
fear,Audios - Train 3/Aug1073_IEO_FEA_LO_TimeShifted_4.8.wav
fear,Audios - Train 3/Aug1073_IEO_FEA_LO_TimeShifted_5.97.wav
fear,Audios - Train 3/Aug1073_IEO_FEA_LO_TimeShifted_2.33.wav
fear,Audios - Train 3/Aug1073_IEO_FEA_LO_TimeShifted_2.96.wav
fear,Audios - Train 3/Aug1073_IEO_FEA_LO_TimeShifted_8.11.wav
happy,Audios - Train 3/1021_IOM_HAP_XX.wav
happy,Audios - Train 3/Aug1021_IOM_HAP_XX_TimeShifted_27.57.wav
happy,Audios - Train 3/Aug1021_IOM_HAP_XX_TimeShifted_3.61.wav
happy,Audios - Train 3/Aug1021_IOM_HAP_XX_TimeShifted_93.13.wav
happy,Audios - Train 3/Aug1021_IOM_HAP_XX_TimeShifted_4.93.wav
happy,Audios - Train 3/Aug1021_IOM_HAP_XX_TimeShifted_4.02.wav
angry,Audios - Train 3/JE_a15.wav
angry,Audios - Train 3/AugJE_a15_TimeShifted_10.36.wav
angry,Audios - Train 3/AugJE_a15_TimeShifted_64.13.wav
angry,Audios - Train 3/AugJE_a15_TimeShifted_18.47.wav
angry,Audios - Train 3/AugJE_a15_TimeShifted_-27.82.wav
angry,Audios - Train 3/AugJE_a15_TimeShifted_10.52.wav
happy,Audios - Train 3/03-01-03-01-01-02-06.wav
happy,Audios - Train 3/Aug03-01-03-01-01-02-06_TimeShifted_534.34.wav
happy,Audios - Train 3/Aug03-01-03-01-01-02-06_TimeShifted_3346.37.wav
happy,Audios - Train 3/Aug03-01-03-01-01-02-06_TimeShifted_7.88.wav
happy,Audios - Train 3/Aug03-01-03-01-01-02-06_TimeShifted_42.57.wav
happy,Audios - Train 3/Aug03-01-03-01-01-02-06_TimeShifted_38.11.wav
angry,Audios - Train 3/YAF_pick_angry.wav
angry,Audios - Train 3/AugYAF_pick_angry_TimeShifted_3.14.wav
angry,Audios - Train 3/AugYAF_pick_angry_TimeShifted_3.2.wav
angry,Audios - Train 3/AugYAF_pick_angry_TimeShifted_11.21.wav
angry,Audios - Train 3/AugYAF_pick_angry_TimeShifted_7.63.wav
angry,Audios - Train 3/AugYAF_pick_angry_TimeShifted_7.7.wav
fear,Audios - Train 3/1087_ITS_FEA_XX.wav
fear,Audios - Train 3/Aug1087_ITS_FEA_XX_TimeShifted_-13.85.wav
fear,Audios - Train 3/Aug1087_ITS_FEA_XX_TimeShifted_5.7.wav
fear,Audios - Train 3/Aug1087_ITS_FEA_XX_TimeShifted_5.42.wav
fear,Audios - Train 3/Aug1087_ITS_FEA_XX_TimeShifted_35.18.wav
fear,Audios - Train 3/Aug1087_ITS_FEA_XX_TimeShifted_7.43.wav
happy,Audios - Train 3/1014_IWL_HAP_XX.wav
happy,Audios - Train 3/Aug1014_IWL_HAP_XX_TimeShifted_13.04.wav
happy,Audios - Train 3/Aug1014_IWL_HAP_XX_TimeShifted_7.51.wav
happy,Audios - Train 3/Aug1014_IWL_HAP_XX_TimeShifted_9.94.wav
happy,Audios - Train 3/Aug1014_IWL_HAP_XX_TimeShifted_29.08.wav
happy,Audios - Train 3/Aug1014_IWL_HAP_XX_TimeShifted_25.76.wav
fear,Audios - Train 3/YAF_wife_fear.wav
fear,Audios - Train 3/AugYAF_wife_fear_TimeShifted_13.53.wav
fear,Audios - Train 3/AugYAF_wife_fear_TimeShifted_43.98.wav
fear,Audios - Train 3/AugYAF_wife_fear_TimeShifted_4.71.wav
fear,Audios - Train 3/AugYAF_wife_fear_TimeShifted_4.47.wav
fear,Audios - Train 3/AugYAF_wife_fear_TimeShifted_2.93.wav
angry,Audios - Train 3/YAF_bean_angry.wav
angry,Audios - Train 3/AugYAF_bean_angry_TimeShifted_56.27.wav
angry,Audios - Train 3/AugYAF_bean_angry_TimeShifted_-4.59.wav
angry,Audios - Train 3/AugYAF_bean_angry_TimeShifted_-9.53.wav
angry,Audios - Train 3/AugYAF_bean_angry_TimeShifted_-15.63.wav
angry,Audios - Train 3/AugYAF_bean_angry_TimeShifted_4.71.wav
angry,Audios - Train 3/1040_IEO_ANG_LO.wav
angry,Audios - Train 3/Aug1040_IEO_ANG_LO_TimeShifted_79.94.wav
angry,Audios - Train 3/Aug1040_IEO_ANG_LO_TimeShifted_36.83.wav
angry,Audios - Train 3/Aug1040_IEO_ANG_LO_TimeShifted_11.07.wav
angry,Audios - Train 3/Aug1040_IEO_ANG_LO_TimeShifted_-6.64.wav
angry,Audios - Train 3/Aug1040_IEO_ANG_LO_TimeShifted_24.87.wav
sad,Audios - Train 3/1059_IWW_SAD_XX.wav
sad,Audios - Train 3/Aug1059_IWW_SAD_XX_TimeShifted_23.31.wav
sad,Audios - Train 3/Aug1059_IWW_SAD_XX_TimeShifted_-14.33.wav
